call_uuid,t0_timestamp,stt_ms,llm_ms,tts_ms,first_frame_ms,total_ms
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775277.001585,390,395,1663,1531,2449
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775289.5602813,359,395,1836,1630,2591
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775303.2403107,428,384,1702,1541,2514
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775313.5195594,376,7495,2503,9246,10373
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775334.1986544,336,29447,2305,31098,32089
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775378.0989854,457,6597,2167,8221,9221
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775398.8017647,352,6480,2312,7988,9143
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775416.7174964,1557,8558,2723,11917,12838
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775446.2803533,434,1449,2478,3114,4361
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775461.338392,354,7530,1729,8698,9614
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775484.3805823,430,6489,1677,7715,8596
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775507.5575788,425,4531,2569,6027,7524
2d57f2ca-f7fc-42cd-9f44-c0cefc257b66,1789775588.1584122,506,1461,2141,3082,4108
c69707eb-62b4-47ad-b7d7-554a40af3364,1789776527.8655913,1271,622,1736,2862,3629
c69707eb-62b4-47ad-b7d7-554a40af3364,1789776549.1649764,849,407,2535,2600,3792
c69707eb-62b4-47ad-b7d7-554a40af3364,1789776572.105228,361,467,2149,2065,2976
c69707eb-62b4-47ad-b7d7-554a40af3364,1789776591.686132,362,70,1965,1454,2397
c69707eb-62b4-47ad-b7d7-554a40af3364,1789776607.903312,325,89,1487,1172,1901
75349c12-89d0-4793-b7b8-6d9b96292761,1789776634.4104092,325,65,1796,1303,2186
75349c12-89d0-4793-b7b8-6d9b96292761,1789776647.7532833,313,70,1824,1396,2207
c4244386-9589-468c-ab8e-b3468d6868c1,1789777659.2855883,702,562,1173,2437,2437
c4244386-9589-468c-ab8e-b3468d6868c1,1789777673.305422,311,353,2208,1863,2872
c4244386-9589-468c-ab8e-b3468d6868c1,1789777692.9034805,983,397,2458,2856,3838
c4244386-9589-468c-ab8e-b3468d6868c1,1789777709.460253,366,82,1749,1238,2198
c4244386-9589-468c-ab8e-b3468d6868c1,1789777724.805491,354,323,1783,1620,2461
c4244386-9589-468c-ab8e-b3468d6868c1,1789777735.6629605,278,315,1915,1572,2508
c4244386-9589-468c-ab8e-b3468d6868c1,1789777751.050275,298,336,2262,1703,2897
c4244386-9589-468c-ab8e-b3468d6868c1,1789777766.9820766,377,101,1665,1273,2143
c4244386-9589-468c-ab8e-b3468d6868c1,1789777783.3606765,309,81,1681,1339,2071
7f7cce45-1e46-4cf7-9a94-25655641887e,1789777830.6553364,1251,2167,2775,4840,6193
1f67400d-d05e-4f8b-a2fd-31f5fe9fee88,1789777963.5391927,441,1686,2725,3702,4851
1f67400d-d05e-4f8b-a2fd-31f5fe9fee88,1789777990.5059218,382,431,2974,2368,3786
236388d3-61bf-4ef9-bf05-c4b2556ea3f1,1789778066.0327742,332,1458,1896,2813,3686
236388d3-61bf-4ef9-bf05-c4b2556ea3f1,1789778083.3157985,267,302,2331,1425,2900
236388d3-61bf-4ef9-bf05-c4b2556ea3f1,1789778095.0564532,268,351,2013,1328,2632
38b39a8b-868c-4ad4-84c7-1160361f144e,1789778124.2891684,1201,393,4266,2836,5860
38b39a8b-868c-4ad4-84c7-1160361f144e,1789778144.8689735,1529,335,1905,2822,3769
